Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001418, Random time: 0.000140, Bucket time: 0.000346, Sort time: 0.000479, Merge time: 0.000099
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001362, Random time: 0.000140, Bucket time: 0.000348, Sort time: 0.000478, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001386, Random time: 0.000140, Bucket time: 0.000343, Sort time: 0.000491, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001363, Random time: 0.000140, Bucket time: 0.000356, Sort time: 0.000473, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001362, Random time: 0.000142, Bucket time: 0.000344, Sort time: 0.000467, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001381, Random time: 0.000154, Bucket time: 0.000340, Sort time: 0.000491, Merge time: 0.000084
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001356, Random time: 0.000141, Bucket time: 0.000356, Sort time: 0.000466, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001443, Random time: 0.000143, Bucket time: 0.000342, Sort time: 0.000472, Merge time: 0.000094
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001386, Random time: 0.000141, Bucket time: 0.000356, Sort time: 0.000469, Merge time: 0.000082
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001368, Random time: 0.000144, Bucket time: 0.000329, Sort time: 0.000483, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001381, Random time: 0.000140, Bucket time: 0.000333, Sort time: 0.000493, Merge time: 0.000084
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001357, Random time: 0.000139, Bucket time: 0.000342, Sort time: 0.000483, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001384, Random time: 0.000140, Bucket time: 0.000364, Sort time: 0.000465, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001367, Random time: 0.000141, Bucket time: 0.000359, Sort time: 0.000469, Merge time: 0.000082
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001395, Random time: 0.000154, Bucket time: 0.000341, Sort time: 0.000494, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001357, Random time: 0.000140, Bucket time: 0.000327, Sort time: 0.000488, Merge time: 0.000084
